Model Name,Year of Production Start,Lap Time
Ferrari SF90 Stradale,2019,1:19.00
Ferrari SF90 Spider,2019,1:19.50
Ferrari LaFerrari,2013,1:19.70
Ferrari 812 Competizione,2021,1:20.00
Ferrari 296 GTB,2021,1:21.00
Ferrari F12 TDF,2015,1:21.00
Ferrari 488 Pista,2018,1:21.50
Ferrari 488 Pista Spider,2018,1:21.50
Ferrari 812 Superfast,2017,1:21.50
Ferrari 296 GTS,2022,1:21.80
Ferrari Enzo,2002,1:22.30
Ferrari F12 Berlinetta,2012,1:22.40
Ferrari F8 Tributo,2019,1:22.50
Ferrari 488 GTB,2015,1:23.00
Ferrari 458 Speciale A,2014,1:23.50
Ferrari 458 Speciale,2013,1:23.50
Ferrari 599 GTO,2010,1:24.00
Ferrari 430 Scuderia,2007,1:25.00
Ferrari 458 Italia,2009,1:25.00
Maserati MC12,2004,1:25.20
Ferrari 599 GTB Fiorano HGTE,2006,1:25.90
Ferrari 599 GTB Fiorano,2006,1:26.50
Ferrari 360 CS,2003,1:26.50
Ferrari 430 Scuderia Spider 16M,2011,1:26.50
Ferrari F50,1995,1:27.00
Ferrari F430,2004,1:27.00
Ferrari F430 Spyder,2005,1:27.00
Ferrari F40,1987,1:29.60
Ferrari California T,2014,1:29.80
Ferrari 612 Scaglietti,2004,1:30.50
Ferrari 360 Modena,1999,1:31.00
Ferrari 575 Maranello,2002,1:31.51
Ferrari 550 Maranello,1996,1:32.53
Ferrari F355 Berlinetta,1994,1:34.00
Maserati Coupe Cambiocorsa,2002,1:35.00
Ferrari 456 GT,1992,1:35.00
Ferrari 512 TR,1991,1:35.00
Ferrari 288 GTO,1984,1:36.00
Ferrari 348 TB,1989,1:39.30
Ferrari Testarossa,1984,1:40.60
Maserati 3200 GT,1998,1:41.00
Ferrari 328 GTB,1985,1:44.00
